GENE1	GENE2	Source	Count
ALK	EML4	cbioportal	238
ALK	KIF5B	cbioportal	5
ALK	SQSTM1	cbioportal	3
ALK	STRN	cbioportal	3
ALK	ZFPM2	cbioportal	3
ALK	CLTC	cbioportal	2
ALK	BCL11A	cbioportal	1
ALK	CLIP4	cbioportal	1
ALK	GCC2	cbioportal	1
ALK	GPRIN3	cbioportal	1
ALK	KLC4	cbioportal	1
ALK	PICALM	cbioportal	1
ALK	PLEKHH2	cbioportal	1
ALK	PON1	cbioportal	1
ALK	PRKCE	cbioportal	1
ALK	RAB5C	cbioportal	1
ALK	SFTPB	cbioportal	1
ALK	SOS1	cbioportal	1
ALK	TFG	cbioportal	1
ALK	TPM1	cbioportal	1
ALK	TRIM24	cbioportal	1
NTRK1	VANGL2	cbioportal	3
NTRK1	CADM3	cbioportal	2
NTRK1	EPS15	cbioportal	2
NTRK1	P2RY8	cbioportal	1
NTRK2	TRIM24	cbioportal	1
RET	KIF5B	cbioportal	105
RET	CCDC6	cbioportal	26
RET	FBXL7	cbioportal	4
RET	NCOA4	cbioportal	4
RET	ERCC6	cbioportal	3
RET	CLIP1	cbioportal	2
RET	CUBN	cbioportal	2
RET	RASSF4	cbioportal	2
RET	RELCH	cbioportal	2
RET	RUFY2	cbioportal	2
RET	TMEM65	cbioportal	2
RET	AGBL4	cbioportal	1
RET	EML4	cbioportal	1
RET	ERC1	cbioportal	1
RET	HTR7	cbioportal	1
RET	TIMM23B	cbioportal	1
RET	TRIM33	cbioportal	1
ROS1	CD74	cbioportal	60
ROS1	EZR	cbioportal	23
ROS1	SDC4	cbioportal	18
ROS1	SLC34A2	cbioportal	11
ROS1	LRIG3	cbioportal	3
ROS1	TPM3	cbioportal	3
ROS1	ANK3	cbioportal	2
ROS1	CLTC	cbioportal	2
ROS1	FAM135B	cbioportal	2
ROS1	TBC1D32	cbioportal	2
ROS1	CCDC30	cbioportal	1
ROS1	CCDC6	cbioportal	1
ROS1	DCBLD1	cbioportal	1
ROS1	DYM	cbioportal	1
ROS1	EYS	cbioportal	1
ROS1	FBXO9	cbioportal	1
ROS1	GOPC	cbioportal	1
ROS1	MYH9	cbioportal	1
ROS1	ZNF157	cbioportal	1
